index,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
1148,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
1149,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
1150,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
1151,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
1152,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
1153,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
1154,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
1155,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
1156,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
1157,Eastern,West Bengal,Kolkata,Birla Temple,Temple,1996,1.0,4.7,0,Yes,None,Religious,Yes,0.55,All
1158,Eastern,West Bengal,Kolkata,Ramakrishna Mission,Religious Organization,1897,2.0,4.8,0,Yes,None,Spiritual,Yes,0.65,Morning
1159,Eastern,West Bengal,Kolkata,Tridhara Sammilani,Pandal,1982,1.5,4.5,0,Yes,None,Cultural,Yes,0.3,Afternoon
1160,Eastern,West Bengal,Kolkata,Quest Mall,Shopping Mall,2013,2.0,4.6,0,Yes,None,Shopping,Yes,0.55,All
1161,Southern,Andhra Pradesh,Hyderabad,LaserMaxx,Laser Tag Arena,2011,1.5,4.3,350,Yes,None,Entertainment,Yes,0.4,Morning
1162,Southern,Andhra Pradesh,Hyderabad,Paigah Tombs,Tomb,1786,2.0,4.6,0,Yes,None,Historical,Yes,0.5,Afternoon
1163,Southern,Andhra Pradesh,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.7,200,Yes,Tuesday,Wildlife,Yes,0.65,All
1164,Western,Gujarat,Ahmedabad,Gujarat Vidyapith,University,1920,2.0,4.5,0,Yes,None,Educational,Yes,0.35,Morning
1165,Western,Gujarat,Ahmedabad,Dada Harir Vav,Stepwell,1499,1.5,4.6,0,Yes,None,Historical,Yes,0.25,Afternoon
1166,Western,Gujarat,Ahmedabad,Sardar Vallabhbhai Patel National Memorial,Museum,1980,2.0,4.7,50,Yes,Monday,Historical,Yes,0.55,All
1167,Northern,Uttarakhand,Dehradun,Guchhupani (Robber's Cave),Natural Feature,Unknown,2.0,4.6,25,Yes,None,Nature,Yes,0.45,Morning
1168,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1965,2.0,4.7,0,Yes,None,Spiritual,Yes,0.35,Afternoon
1169,Northern,Uttarakhand,Dehradun,Dehradun Zoo,Zoo,1982,2.5,4.5,50,Yes,Monday,Wildlife,Yes,0.3,All
1170,Northern,Rajasthan,Jaipur,Dolls Museum,Museum,1974,1.0,4.4,30,Yes,Monday,Cultural,Yes,0.25,Morning
1171,Northern,Rajasthan,Jaipur,Amrapali Museum,Jewelry Museum,2012,2.0,4.6,100,Yes,Tuesday,Cultural,Yes,0.4,Afternoon
1172,Southern,Tamil Nadu,Chennai,Chennai Lighthouse,Lighthouse,1977,1.0,4.7,10,Yes,None,Scenic,Yes,0.55,All
1173,Southern,Tamil Nadu,Chennai,Royapuram Fishing Harbour,Harbour,1881,1.5,4.3,0,Yes,None,Marine,Yes,0.2,Morning
1174,Southern,Tamil Nadu,Chennai,St Thomas Basilica,Basilica,1523,2.0,4.8,0,Yes,None,Religious,Yes,0.65,Afternoon
1175,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,2.0,4.7,0,Yes,Monday,Historical,Yes,0.6,All
1176,Eastern,West Bengal,Kolkata,Nakhoda Mosque,Mosque,1926,1.5,4.6,0,Yes,None,Religious,Yes,0.35,Morning
1177,Eastern,West Bengal,Kolkata,Alipore Zoo,Zoo,1876,3.0,4.5,100,Yes,Monday,Wildlife,Yes,0.55,Afternoon
1178,Eastern,West Bengal,Kolkata,Jorasanko Thakurbari,Heritage House,1784,2.0,4.8,50,Yes,Monday,Cultural,Yes,0.45,All
1179,Eastern,West Bengal,Kolkata,Science City,Science Center,1997,3.0,4.6,150,Yes,None,Educational,Yes,0.65,Morning
1180,Southern,Andhra Pradesh,Hyderabad,Telangana State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,Afternoon
1181,Southern,Andhra Pradesh,Hyderabad,Public Garden,Park,1846,2.0,4.4,0,Yes,None,Recreational,Yes,0.35,All
1182,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,2.0,4.5,0,Yes,None,Recreational,Yes,0.65,Morning
1183,Western,Gujarat,Ahmedabad,Manek Chowk,Food Court,1740,1.0,4.6,0,Yes,None,Food,Yes,0.5,Afternoon
1184,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
1185,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
1186,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
1187,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
1188,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
1189,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
1190,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
1191,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
1192,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
1193,Eastern,West Bengal,Kolkata,Birla Temple,Temple,1996,1.0,4.7,0,Yes,None,Religious,Yes,0.55,All
1194,Eastern,West Bengal,Kolkata,Ramakrishna Mission,Religious Organization,1897,2.0,4.8,0,Yes,None,Spiritual,Yes,0.65,Morning
1195,Eastern,West Bengal,Kolkata,Tridhara Sammilani,Pandal,1982,1.5,4.5,0,Yes,None,Cultural,Yes,0.3,Afternoon
1196,Eastern,West Bengal,Kolkata,Quest Mall,Shopping Mall,2013,2.0,4.6,0,Yes,None,Shopping,Yes,0.55,All
1197,Southern,Andhra Pradesh,Hyderabad,LaserMaxx,Laser Tag Arena,2011,1.5,4.3,350,Yes,None,Entertainment,Yes,0.4,Morning
1198,Southern,Andhra Pradesh,Hyderabad,Paigah Tombs,Tomb,1786,2.0,4.6,0,Yes,None,Historical,Yes,0.5,Afternoon
1199,Southern,Andhra Pradesh,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.7,200,Yes,Tuesday,Wildlife,Yes,0.65,All
1200,Western,Gujarat,Ahmedabad,Gujarat Vidyapith,University,1920,2.0,4.5,0,Yes,None,Educational,Yes,0.35,Morning
1201,Western,Gujarat,Ahmedabad,Dada Harir Vav,Stepwell,1499,1.5,4.6,0,Yes,None,Historical,Yes,0.25,Afternoon
1202,Western,Gujarat,Ahmedabad,Sardar Vallabhbhai Patel National Memorial,Museum,1980,2.0,4.7,50,Yes,Monday,Historical,Yes,0.55,All
1203,Northern,Uttarakhand,Dehradun,Guchhupani (Robber's Cave),Natural Feature,Unknown,2.0,4.6,25,Yes,None,Nature,Yes,0.45,Morning
1204,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1965,2.0,4.7,0,Yes,None,Spiritual,Yes,0.35,Afternoon
1205,Northern,Uttarakhand,Dehradun,Dehradun Zoo,Zoo,1982,2.5,4.5,50,Yes,Monday,Wildlife,Yes,0.3,All
1206,Northern,Rajasthan,Jaipur,Dolls Museum,Museum,1974,1.0,4.4,30,Yes,Monday,Cultural,Yes,0.25,Morning
1207,Northern,Rajasthan,Jaipur,Amrapali Museum,Jewelry Museum,2012,2.0,4.6,100,Yes,Tuesday,Cultural,Yes,0.4,Afternoon
1208,Southern,Tamil Nadu,Chennai,Chennai Lighthouse,Lighthouse,1977,1.0,4.7,10,Yes,None,Scenic,Yes,0.55,All
1209,Southern,Tamil Nadu,Chennai,Royapuram Fishing Harbour,Harbour,1881,1.5,4.3,0,Yes,None,Marine,Yes,0.2,Morning
1210,Southern,Tamil Nadu,Chennai,St Thomas Basilica,Basilica,1523,2.0,4.8,0,Yes,None,Religious,Yes,0.65,Afternoon
1211,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,2.0,4.7,0,Yes,Monday,Historical,Yes,0.6,All
1212,Eastern,West Bengal,Kolkata,Nakhoda Mosque,Mosque,1926,1.5,4.6,0,Yes,None,Religious,Yes,0.35,Morning
1213,Eastern,West Bengal,Kolkata,Alipore Zoo,Zoo,1876,3.0,4.5,100,Yes,Monday,Wildlife,Yes,0.55,Afternoon
1214,Eastern,West Bengal,Kolkata,Jorasanko Thakurbari,Heritage House,1784,2.0,4.8,50,Yes,Monday,Cultural,Yes,0.45,All
1215,Eastern,West Bengal,Kolkata,Science City,Science Center,1997,3.0,4.6,150,Yes,None,Educational,Yes,0.65,Morning
1216,Southern,Andhra Pradesh,Hyderabad,Telangana State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,Afternoon
1217,Southern,Andhra Pradesh,Hyderabad,Public Garden,Park,1846,2.0,4.4,0,Yes,None,Recreational,Yes,0.35,All
1218,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,2.0,4.5,0,Yes,None,Recreational,Yes,0.65,Morning
1219,Western,Gujarat,Ahmedabad,Manek Chowk,Food Court,1740,1.0,4.6,0,Yes,None,Food,Yes,0.5,Afternoon
1220,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
1221,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
1222,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
1223,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
1224,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
1225,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
1226,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
1227,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
1228,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
1229,Eastern,West Bengal,Kolkata,Birla Temple,Temple,1996,1.0,4.7,0,Yes,None,Religious,Yes,0.55,All
1230,Eastern,West Bengal,Kolkata,Ramakrishna Mission,Religious Organization,1897,2.0,4.8,0,Yes,None,Spiritual,Yes,0.65,Morning
1231,Eastern,West Bengal,Kolkata,Tridhara Sammilani,Pandal,1982,1.5,4.5,0,Yes,None,Cultural,Yes,0.3,Afternoon
1232,Eastern,West Bengal,Kolkata,Quest Mall,Shopping Mall,2013,2.0,4.6,0,Yes,None,Shopping,Yes,0.55,All
1233,Southern,Andhra Pradesh,Hyderabad,LaserMaxx,Laser Tag Arena,2011,1.5,4.3,350,Yes,None,Entertainment,Yes,0.4,Morning
1234,Southern,Andhra Pradesh,Hyderabad,Paigah Tombs,Tomb,1786,2.0,4.6,0,Yes,None,Historical,Yes,0.5,Afternoon
1235,Southern,Andhra Pradesh,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.7,200,Yes,Tuesday,Wildlife,Yes,0.65,All
1236,Western,Gujarat,Ahmedabad,Gujarat Vidyapith,University,1920,2.0,4.5,0,Yes,None,Educational,Yes,0.35,Morning
1237,Western,Gujarat,Ahmedabad,Dada Harir Vav,Stepwell,1499,1.5,4.6,0,Yes,None,Historical,Yes,0.25,Afternoon
1238,Western,Gujarat,Ahmedabad,Sardar Vallabhbhai Patel National Memorial,Museum,1980,2.0,4.7,50,Yes,Monday,Historical,Yes,0.55,All
1239,Northern,Uttarakhand,Dehradun,Guchhupani (Robber's Cave),Natural Feature,Unknown,2.0,4.6,25,Yes,None,Nature,Yes,0.45,Morning
1240,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1965,2.0,4.7,0,Yes,None,Spiritual,Yes,0.35,Afternoon
1241,Northern,Uttarakhand,Dehradun,Dehradun Zoo,Zoo,1982,2.5,4.5,50,Yes,Monday,Wildlife,Yes,0.3,All
1242,Northern,Rajasthan,Jaipur,Dolls Museum,Museum,1974,1.0,4.4,30,Yes,Monday,Cultural,Yes,0.25,Morning
1243,Northern,Rajasthan,Jaipur,Amrapali Museum,Jewelry Museum,2012,2.0,4.6,100,Yes,Tuesday,Cultural,Yes,0.4,Afternoon
1244,Southern,Tamil Nadu,Chennai,Chennai Lighthouse,Lighthouse,1977,1.0,4.7,10,Yes,None,Scenic,Yes,0.55,All
1245,Southern,Tamil Nadu,Chennai,Royapuram Fishing Harbour,Harbour,1881,1.5,4.3,0,Yes,None,Marine,Yes,0.2,Morning
1246,Southern,Tamil Nadu,Chennai,St Thomas Basilica,Basilica,1523,2.0,4.8,0,Yes,None,Religious,Yes,0.65,Afternoon
1247,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,2.0,4.7,0,Yes,Monday,Historical,Yes,0.6,All
1248,Eastern,West Bengal,Kolkata,Nakhoda Mosque,Mosque,1926,1.5,4.6,0,Yes,None,Religious,Yes,0.35,Morning
1249,Eastern,West Bengal,Kolkata,Alipore Zoo,Zoo,1876,3.0,4.5,100,Yes,Monday,Wildlife,Yes,0.55,Afternoon
1250,Eastern,West Bengal,Kolkata,Jorasanko Thakurbari,Heritage House,1784,2.0,4.8,50,Yes,Monday,Cultural,Yes,0.45,All
1251,Eastern,West Bengal,Kolkata,Science City,Science Center,1997,3.0,4.6,150,Yes,None,Educational,Yes,0.65,Morning
1252,Southern,Andhra Pradesh,Hyderabad,Telangana State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,Afternoon
1253,Southern,Andhra Pradesh,Hyderabad,Public Garden,Park,1846,2.0,4.4,0,Yes,None,Recreational,Yes,0.35,All
1254,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,2.0,4.5,0,Yes,None,Recreational,Yes,0.65,Morning
1255,Western,Gujarat,Ahmedabad,Manek Chowk,Food Court,1740,1.0,4.6,0,Yes,None,Food,Yes,0.5,Afternoon
1256,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
1257,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
1258,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
1259,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
1260,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
1261,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
1262,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
1263,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
1264,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
1265,Eastern,West Bengal,Kolkata,Birla Temple,Temple,1996,1.0,4.7,0,Yes,None,Religious,Yes,0.55,All
1266,Eastern,West Bengal,Kolkata,Ramakrishna Mission,Religious Organization,1897,2.0,4.8,0,Yes,None,Spiritual,Yes,0.65,Morning
1267,Eastern,West Bengal,Kolkata,Tridhara Sammilani,Pandal,1982,1.5,4.5,0,Yes,None,Cultural,Yes,0.3,Afternoon
1268,Eastern,West Bengal,Kolkata,Quest Mall,Shopping Mall,2013,2.0,4.6,0,Yes,None,Shopping,Yes,0.55,All
1269,Southern,Andhra Pradesh,Hyderabad,LaserMaxx,Laser Tag Arena,2011,1.5,4.3,350,Yes,None,Entertainment,Yes,0.4,Morning
1270,Southern,Andhra Pradesh,Hyderabad,Paigah Tombs,Tomb,1786,2.0,4.6,0,Yes,None,Historical,Yes,0.5,Afternoon
1271,Southern,Andhra Pradesh,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.7,200,Yes,Tuesday,Wildlife,Yes,0.65,All
1272,Western,Gujarat,Ahmedabad,Gujarat Vidyapith,University,1920,2.0,4.5,0,Yes,None,Educational,Yes,0.35,Morning
1273,Western,Gujarat,Ahmedabad,Dada Harir Vav,Stepwell,1499,1.5,4.6,0,Yes,None,Historical,Yes,0.25,Afternoon
1274,Western,Gujarat,Ahmedabad,Sardar Vallabhbhai Patel National Memorial,Museum,1980,2.0,4.7,50,Yes,Monday,Historical,Yes,0.55,All
1275,Northern,Uttarakhand,Dehradun,Guchhupani (Robber's Cave),Natural Feature,Unknown,2.0,4.6,25,Yes,None,Nature,Yes,0.45,Morning
1276,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1965,2.0,4.7,0,Yes,None,Spiritual,Yes,0.35,Afternoon
1277,Northern,Uttarakhand,Dehradun,Dehradun Zoo,Zoo,1982,2.5,4.5,50,Yes,Monday,Wildlife,Yes,0.3,All
1278,Northern,Rajasthan,Jaipur,Dolls Museum,Museum,1974,1.0,4.4,30,Yes,Monday,Cultural,Yes,0.25,Morning
1279,Northern,Rajasthan,Jaipur,Amrapali Museum,Jewelry Museum,2012,2.0,4.6,100,Yes,Tuesday,Cultural,Yes,0.4,Afternoon
1280,Southern,Tamil Nadu,Chennai,Chennai Lighthouse,Lighthouse,1977,1.0,4.7,10,Yes,None,Scenic,Yes,0.55,All
1281,Southern,Tamil Nadu,Chennai,Royapuram Fishing Harbour,Harbour,1881,1.5,4.3,0,Yes,None,Marine,Yes,0.2,Morning
1282,Southern,Tamil Nadu,Chennai,St Thomas Basilica,Basilica,1523,2.0,4.8,0,Yes,None,Religious,Yes,0.65,Afternoon
1283,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,2.0,4.7,0,Yes,Monday,Historical,Yes,0.6,All
1284,Eastern,West Bengal,Kolkata,Nakhoda Mosque,Mosque,1926,1.5,4.6,0,Yes,None,Religious,Yes,0.35,Morning
1285,Eastern,West Bengal,Kolkata,Alipore Zoo,Zoo,1876,3.0,4.5,100,Yes,Monday,Wildlife,Yes,0.55,Afternoon
1286,Eastern,West Bengal,Kolkata,Jorasanko Thakurbari,Heritage House,1784,2.0,4.8,50,Yes,Monday,Cultural,Yes,0.45,All
1287,Eastern,West Bengal,Kolkata,Science City,Science Center,1997,3.0,4.6,150,Yes,None,Educational,Yes,0.65,Morning
1288,Southern,Andhra Pradesh,Hyderabad,Telangana State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,Afternoon
1289,Southern,Andhra Pradesh,Hyderabad,Public Garden,Park,1846,2.0,4.4,0,Yes,None,Recreational,Yes,0.35,All
1290,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,2.0,4.5,0,Yes,None,Recreational,Yes,0.65,Morning
1291,Western,Gujarat,Ahmedabad,Manek Chowk,Food Court,1740,1.0,4.6,0,Yes,None,Food,Yes,0.5,Afternoon
1292,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
1293,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
1294,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
1295,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
1296,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
1297,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
1298,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
1299,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
1300,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
1301,Eastern,West Bengal,Kolkata,Birla Temple,Temple,1996,1.0,4.7,0,Yes,None,Religious,Yes,0.55,All
1302,Eastern,West Bengal,Kolkata,Ramakrishna Mission,Religious Organization,1897,2.0,4.8,0,Yes,None,Spiritual,Yes,0.65,Morning
1303,Eastern,West Bengal,Kolkata,Tridhara Sammilani,Pandal,1982,1.5,4.5,0,Yes,None,Cultural,Yes,0.3,Afternoon
1304,Eastern,West Bengal,Kolkata,Quest Mall,Shopping Mall,2013,2.0,4.6,0,Yes,None,Shopping,Yes,0.55,All
1305,Southern,Andhra Pradesh,Hyderabad,LaserMaxx,Laser Tag Arena,2011,1.5,4.3,350,Yes,None,Entertainment,Yes,0.4,Morning
1306,Southern,Andhra Pradesh,Hyderabad,Paigah Tombs,Tomb,1786,2.0,4.6,0,Yes,None,Historical,Yes,0.5,Afternoon
1307,Southern,Andhra Pradesh,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.7,200,Yes,Tuesday,Wildlife,Yes,0.65,All
1308,Western,Gujarat,Ahmedabad,Gujarat Vidyapith,University,1920,2.0,4.5,0,Yes,None,Educational,Yes,0.35,Morning
1309,Western,Gujarat,Ahmedabad,Dada Harir Vav,Stepwell,1499,1.5,4.6,0,Yes,None,Historical,Yes,0.25,Afternoon
1310,Western,Gujarat,Ahmedabad,Sardar Vallabhbhai Patel National Memorial,Museum,1980,2.0,4.7,50,Yes,Monday,Historical,Yes,0.55,All
1311,Northern,Uttarakhand,Dehradun,Guchhupani (Robber's Cave),Natural Feature,Unknown,2.0,4.6,25,Yes,None,Nature,Yes,0.45,Morning
1312,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1965,2.0,4.7,0,Yes,None,Spiritual,Yes,0.35,Afternoon
1313,Northern,Uttarakhand,Dehradun,Dehradun Zoo,Zoo,1982,2.5,4.5,50,Yes,Monday,Wildlife,Yes,0.3,All
1314,Northern,Rajasthan,Jaipur,Dolls Museum,Museum,1974,1.0,4.4,30,Yes,Monday,Cultural,Yes,0.25,Morning
1315,Northern,Rajasthan,Jaipur,Amrapali Museum,Jewelry Museum,2012,2.0,4.6,100,Yes,Tuesday,Cultural,Yes,0.4,Afternoon
1316,Southern,Tamil Nadu,Chennai,Chennai Lighthouse,Lighthouse,1977,1.0,4.7,10,Yes,None,Scenic,Yes,0.55,All
1317,Southern,Tamil Nadu,Chennai,Royapuram Fishing Harbour,Harbour,1881,1.5,4.3,0,Yes,None,Marine,Yes,0.2,Morning
1318,Southern,Tamil Nadu,Chennai,St Thomas Basilica,Basilica,1523,2.0,4.8,0,Yes,None,Religious,Yes,0.65,Afternoon
1319,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,2.0,4.7,0,Yes,Monday,Historical,Yes,0.6,All
1320,Eastern,West Bengal,Kolkata,Nakhoda Mosque,Mosque,1926,1.5,4.6,0,Yes,None,Religious,Yes,0.35,Morning
1321,Eastern,West Bengal,Kolkata,Alipore Zoo,Zoo,1876,3.0,4.5,100,Yes,Monday,Wildlife,Yes,0.55,Afternoon
1322,Eastern,West Bengal,Kolkata,Jorasanko Thakurbari,Heritage House,1784,2.0,4.8,50,Yes,Monday,Cultural,Yes,0.45,All
1323,Eastern,West Bengal,Kolkata,Science City,Science Center,1997,3.0,4.6,150,Yes,None,Educational,Yes,0.65,Morning
1324,Southern,Andhra Pradesh,Hyderabad,Telangana State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,Morning
1325,Southern,Andhra Pradesh,Hyderabad,Public Garden,Park,1846,2.0,4.4,0,Yes,None,Recreational,Yes,0.35,Afternoon
1326,Southern,Andhra Pradesh,Hyderabad,Lumbini Park,Park,1994,1.5,4.6,20,Yes,None,Recreational,Yes,0.55,All
1327,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,2.0,4.5,0,Yes,None,Recreational,Yes,0.65,Morning
1328,Western,Gujarat,Ahmedabad,Manek Chowk,Food Court,1740,1.0,4.6,0,Yes,None,Food,Yes,0.5,Afternoon
1329,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
1330,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
1331,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
1332,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
1333,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
1334,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
1335,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
1336,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
1337,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
